id,created_at,added_at,title,url,max_score,max_comments
42156400,1731764993,1732464000,Show HN: Android Dev Quest – A puzzle game solvable only using developer tools,https://www.androiddev.quest/,84,15
42156430,1731765233,1732464000,Optimizers: The Low-Key MVP,https://duckdb.org/2024/11/14/optimizers.html,119,13
42156516,1731766037,1732464000,YC is wrong about LLMs for chip design,https://www.zach.be/p/yc-is-wrong-about-llms-for-chip-design,322,272
42156680,1731768176,1732464000,Casio has released a ring in the form of its iconic watch,https://www.theverge.com/2024/11/15/24297261/casio-smart-ring-digital-watch-crw-001-1jr,150,59
42156977,1731772359,1732464000,Show HN: I built a(nother) house optimized for LAN parties,https://lanparty.house/,1114,381
42157335,1731775713,1732464000,Two galaxies aligned in a way where their gravity acts as a compound lens,https://phys.org/news/2024-11-astronomers-galaxies-aligned-gravity-compound.html,271,103
42157558,1731777819,1732464000,SICP: The only computer science book worth reading twice? (2010),https://simondobson.org/2010/05/14/cs-book-worth-reading-twice/,466,181
42157885,1731780482,1732464000,Statistical Rethinking (2024 Edition),https://github.com/rmcelreath/stat_rethinking_2024,193,32
42158130,1731781982,1732464000,James Webb Space Telescope finds evidence for alternate theory of gravity,https://thedebrief.org/james-webb-space-telescope-finds-stunning-evidence-for-alternate-theory-of-gravity/,357,171
42158445,1731784170,1732464000,Logica – Declarative logic programming language for data,https://logica.dev/,171,66
42158451,1731784254,1732464000,Convolutional Differentiable Logic Gate Networks,https://arxiv.org/abs/2411.04732,26,4
42159786,1731794878,1732464000,The Bluesky firehose viewed in the style of a Windows XP screensaver,https://firehose3d.theo.io/,601,150
42160013,1731796624,1732464000,SmoothLLM: Defending Large Language Models Against Jailbreaking Attacks,https://arxiv.org/abs/2310.03684,54,23
42160071,1731797029,1732464000,Teach yourself to echolocate,https://www.atlasobscura.com/articles/how-to-echolocate,247,75
42160647,1731801163,1732464000,James Gleick's Chaos: The Software,https://github.com/rudyrucker/chaos,266,33
42160716,1731801768,1732464000,Effect of a giant meteorite impact on Paleoarchean environment and life,https://www.chemistryworld.com/news/meteorite-200-times-larger-than-one-that-killed-dinosaurs-reset-early-life/4020391.article,133,53
42161223,1731807122,1732464000,Xogot – Godot for iPad,https://xogot.com/,163,41
42161284,1731807798,1732464000,One-parting some Commodore 64 utilities for fun and profit,http://oldvcr.blogspot.com/2024/11/one-parting-some-commodore-64-utilities.html,43,9
42161664,1731812582,1732464000,Two Nobel Prize winners want to cancel their own CRISPR patents in Europe,https://www.technologyreview.com/2024/09/25/1104475/nobel-prize-winners-cancel-crispr-patents-europe/,167,120
42161919,1731817092,1732464000,CSS gets a new logo and it uses the color `rebeccapurple`,https://michaelcharl.es/aubrey/en/code/new-rebeccapurple-css-logo,907,183
42161987,1731818136,1732464000,Usql: Universal command-line interface for SQL databases,https://github.com/xo/usql,38,2
42162205,1731821487,1732464000,DIMM vs. Udimm vs. Rdimm vs. Sodimm vs. Cudimm: What's the Difference?,https://www.corsair.com/us/en/explorer/diy-builder/memory/dimm-vs-udimm-vs-rdimm-vs-sodimm-vs-cudimm-whats-the-difference/,63,14
42162271,1731822704,1732464000,Tiling with Three Polygons Is Undecidable,https://arxiv.org/abs/2409.11582,136,27
42162404,1731825753,1732464000,Writing Healthy Health-Checks,https://lorentz.app/blog-item.html?id=healthy-health-checks,28,1
42162529,1731828052,1732464000,Show HN: Convolution Solver and Visualizer,https://convolution-solver.ybouane.com/,38,2
42162622,1731829328,1732464000,"All-in-one embedding model for interleaved text, images, and screenshots",https://blog.voyageai.com/2024/11/12/voyage-multimodal-3/,263,31
42162654,1731829756,1732464000,"Playful, intricate Japanese leaf art – in pictures – Art and design",https://www.theguardian.com/artanddesign/gallery/2024/nov/16/what-a-carve-up-playful-intricate-japanese-leaf-art-in-pictures,61,4
42162673,1731829928,1732464000,A 15-minute intro to involute gears,https://lcamtuf.substack.com/p/a-15-minute-intro-to-involute-gears,77,16
42162751,1731831247,1732464000,How to setup self hosted wiki for your startup,https://themythicalengineer.com/how-to-setup-self-hosted-wiki-for-your-startup.html,123,82
42162755,1731831331,1732464000,Towards Nyquist Learners,https://gwern.net/doc/www/arxiv.org/89f378d0e61fc00754c5e6d175e644578593d372.pdf#page=85,66,52
42162878,1731833069,1732464000,Constraints in Go,https://bitfieldconsulting.com/posts/constraints,211,90
42163086,1731836308,1732464000,How do cars do in out-of-sample crash testing? (2020),https://danluu.com/car-safety/,86,172
42163302,1731839799,1732464000,Ask HN: Great maker projects for 8th grade kids and above?,,75,79
42163330,1731840207,1732464000,Oxford accused of relying on young academics employed on gig-economy terms,https://www.theguardian.com/education/2024/nov/16/oxford-deliveroo-contracts-tutorials-full-time-staff-gig-economy,190,114
42163396,1731841063,1732464000,How Distributed Systems Avoid Race Conditions Using Pessimistic Locking?,https://newsletter.scalablethread.com/p/how-distributed-systems-avoid-race,20,3
42163518,1731842706,1732464000,Ask HN: Would you recommend a framework laptop?,,60,95
