hour,id,score,comments,best_rank
0,49410932,415,176,
0,49411020,198,74,
0,49411102,816,700,
0,49411395,304,156,
0,49411468,225,258,
0,49411643,582,171,
0,49411717,390,156,
0,49411800,222,28,
0,49412176,52,36,
0,49412396,605,681,
0,49412467,47,11,
0,49412909,93,19,
0,49413320,1438,349,
0,49413561,396,76,
0,49415265,81,3,
0,49415271,559,108,
0,49415621,261,143,
0,49415852,139,35,
0,49415893,189,106,
0,49416055,748,424,
0,49416366,68,97,
0,49416553,35,0,
0,49416652,173,23,
0,49417684,33,13,
0,49418163,74,34,
0,49418255,201,53,
0,49419237,1628,1027,
0,49419252,343,119,
0,49419351,237,48,
0,49419477,23,6,
0,49420116,132,13,
0,49420146,39,6,
0,49420530,230,108,
0,49420556,69,49,
0,49420592,52,19,
0,49420598,141,56,
0,49420781,27,4,
0,49420861,63,71,
0,49420873,1001,736,
0,49420902,301,191,
0,49421074,337,342,
0,49421158,853,433,
0,49421489,363,205,
0,49421536,270,181,
0,49421806,155,31,
0,49421948,131,62,
0,49422204,123,56,
0,49422226,88,70,
0,49422227,81,87,
0,49422243,57,25,
0,49422548,97,14,
0,49422784,607,171,
0,49422800,345,818,
0,49423045,126,113,
0,49423146,92,97,
0,49423539,197,186,
0,49423792,27,11,
0,49423799,76,52,
0,49423878,132,18,
0,49423927,70,9,
0,49424082,127,131,
0,49424167,84,42,
0,49424387,192,107,
0,49424606,701,654,
0,49425800,160,31,
0,49425819,177,175,
0,49426466,266,40,
0,49426564,604,207,
0,49426877,26,17,
0,49427001,173,64,
0,49428080,160,242,
0,49428121,245,300,
0,49428638,147,46,
0,49428882,122,55,
0,49430007,132,102,
0,49430259,35,22,
0,49432201,253,443,
0,49432227,89,51,
0,49432317,334,168,
0,49432319,386,130,
0,49432786,59,54,
0,49433292,1303,1282,
0,49433316,821,554,
0,49433450,545,355,
0,49434378,582,377,
0,49434645,428,271,
0,49434709,64,20,
0,49434820,359,201,
0,49435495,42,28,
0,49435641,41,19,
0,49435728,274,355,
0,49435781,45,4,
0,49436706,75,10,
0,49436786,224,84,
0,49436822,282,586,
0,49437049,182,53,
0,49437069,666,183,
0,49437165,54,29,
0,49437210,297,216,
0,49437283,1189,1319,
0,49437361,62,18,
0,49437483,202,93,
0,49437946,438,137,
0,49438052,1587,245,
0,49438446,11,7,
0,49439017,487,236,
0,49439220,29,2,
0,49439296,68,29,
0,49439499,182,140,
0,49439881,22,2,
0,49439943,21,3,
0,49440102,8,0,
0,49440410,178,74,
0,49440646,9,0,
0,49440770,97,2,
0,49441101,38,18,
0,49441297,15,3,
0,49441375,118,27,
0,49441666,114,73,
0,49441800,12,1,
0,49441866,42,26,
0,49441955,44,6,
0,49442223,18,8,
0,49442589,331,86,
0,49443040,12,0,
0,49443523,79,28,
0,49444232,98,24,
0,49444370,6,1,
0,49444507,9,0,
0,49444514,137,211,
0,49444792,4,0,
0,49445252,96,67,
0,49445286,81,55,
0,49445727,486,203,
0,49445873,183,33,
0,49445884,88,45,
0,49446342,3,1,
0,49446390,3,0,
0,49446422,430,146,
0,49446442,98,31,
0,49446444,4,0,
0,49446564,7,0,
0,49446583,4,0,
0,49446748,177,154,
0,49446769,5,4,
0,49446984,92,56,
0,49447045,9,5,
0,49447046,10,1,
0,49447054,54,22,
0,49447057,203,451,12
0,49447090,5,0,
0,49447095,6,0,
0,49447166,3,0,
0,49447202,6,4,
0,49447222,48,14,
0,49447317,8,1,
0,49447320,5,1,
0,49447372,8,0,
0,49447404,7,0,
0,49447566,10,0,
0,49447719,6,0,
0,49447724,114,14,
0,49447878,32,8,
0,49448029,39,3,
0,49448073,15,0,
0,49448082,32,5,
0,49448085,12,1,
0,49448115,18,0,
0,49448137,189,1,
0,49448150,99,68,
0,49448167,62,7,
0,49448173,12,0,
0,49448210,687,231,
0,49448238,5,2,
0,49448243,21,1,
0,49448321,1080,313,
0,49448378,35,1,
0,49448556,10,1,
0,49448583,5,0,
0,49448665,157,116,
0,49448719,9,0,
0,49448795,12,11,
0,49448819,532,537,
0,49448826,4,0,
0,49448909,87,17,
0,49448913,4,0,
0,49449031,15,1,
0,49449128,136,16,
0,49449201,8,3,
0,49449356,10,1,
0,49449363,20,0,
0,49449440,42,11,
0,49449458,55,21,
0,49449482,19,3,
0,49449507,1105,555,
0,49449576,554,379,
0,49449648,73,47,
0,49449749,296,203,
0,49449888,142,93,
0,49450096,4,0,
0,49450188,177,136,
0,49450273,11,2,
0,49450353,137,59,
0,49450394,32,4,
0,49450417,56,57,
0,49450448,457,194,
0,49450461,4,1,
0,49450500,21,1,
0,49450570,7,4,
0,49450575,3,3,
0,49450662,5,0,
0,49450672,15,11,
0,49450714,8,0,
0,49450722,262,168,
0,49450816,25,10,
0,49450896,10,0,
0,49450898,249,166,
0,49450929,14,1,
0,49450949,4,0,
0,49451003,7,0,
0,49451033,5,0,
0,49451263,7,1,
0,49451304,21,4,
0,49451313,348,354,
0,49451343,207,212,
0,49451346,28,5,
0,49451448,712,230,
0,49451493,31,9,
0,49451495,53,23,
0,49451624,5,1,
0,49451675,278,70,
0,49451720,3,0,
0,49451916,15,1,
0,49451927,7,1,
0,49451972,15,2,
0,49452011,12,2,
0,49452037,51,22,
0,49452135,14,2,
0,49452144,3,0,
0,49452231,4,0,
0,49452281,4,0,
0,49452324,3,0,
0,49452346,199,116,
0,49452393,18,4,
0,49452551,15,0,
0,49452656,14,2,
0,49452671,328,85,
0,49452709,787,1294,
0,49452740,24,8,
0,49452789,129,82,
0,49452794,12,1,
0,49452822,38,71,
0,49452980,478,216,
0,49452990,647,124,
0,49453098,4,1,
0,49453159,7,7,
0,49453161,219,282,
0,49453304,5,0,
0,49453523,7,1,
0,49453550,9,0,
0,49453656,10,1,
0,49453820,19,5,
0,49454175,35,5,
0,49454182,16,2,
0,49454205,19,0,
0,49454305,9,1,
0,49454314,328,442,
0,49454330,4,1,
0,49454366,16,4,
0,49454419,174,88,
0,49454460,19,0,
0,49454542,45,5,
0,49454606,16,2,
0,49454607,19,1,
0,49454612,4,4,
0,49454728,254,179,
0,49454742,41,35,
0,49454764,172,105,
0,49454780,10,0,
0,49454980,8,0,
0,49455028,11,2,
0,49455036,14,6,
0,49455105,5,0,
0,49455285,21,0,
0,49455299,21,6,
0,49455419,14,2,
0,49455450,32,8,
0,49455471,170,120,
0,49455507,20,3,
0,49455530,182,30,
0,49455537,12,1,
0,49455557,36,7,
0,49455613,38,34,
0,49455629,12,2,
0,49455633,32,1,
0,49455672,10,3,
0,49455692,11,1,
0,49455695,21,7,
0,49455713,31,5,
0,49455715,24,4,
0,49455956,244,58,
0,49456233,4,0,
0,49456463,54,16,
0,49456615,41,29,
0,49456851,390,227,
0,49456911,18,0,
0,49456929,271,194,
0,49457083,9,3,
0,49457181,39,2,
0,49457512,289,190,
0,49457545,518,157,
0,49457590,5,0,
0,49457722,85,33,16
0,49458161,1826,854,25
0,49458211,12,1,
0,49458267,12,0,
0,49458418,937,647,
0,49458478,84,23,
0,49458502,33,11,
0,49458546,11,9,
0,49458594,7,2,
0,49458709,256,30,
0,49458747,34,5,
0,49458875,83,260,
0,49458924,11,2,
0,49458995,18,2,
0,49459061,44,1,
0,49459140,32,6,
0,49459667,8,2,
0,49459687,16,3,
0,49459861,33,6,
0,49460032,84,61,
0,49460213,3,1,
0,49460834,9,2,
0,49461235,5,0,
0,49461552,8,0,
0,49461556,4,3,
0,49461724,81,27,
0,49461817,331,158,19
0,49461848,8,2,
0,49461862,15,6,
0,49461915,10,0,
0,49461965,30,16,
0,49462253,453,256,
0,49462650,6,1,
0,49462687,105,92,
0,49462763,495,181,8
0,49463001,3,0,
0,49463200,22,4,
0,49463392,45,16,
0,49463464,19,2,
0,49464179,7,5,
0,49464232,7,8,
0,49464234,3,1,
0,49464272,10,1,
0,49464282,11,2,
0,49464314,109,71,27
0,49464391,209,119,
0,49464414,126,289,28
0,49464459,37,7,
0,49464543,149,63,17
0,49464558,6,0,
0,49464637,132,29,
0,49464661,5,0,
0,49464678,55,48,
0,49464825,6,0,
0,49464837,11,2,
0,49464896,470,229,
0,49464927,5,0,
0,49464944,5,2,
0,49464947,8,0,
0,49464949,19,2,
0,49464970,114,41,
0,49465057,15,1,
0,49465079,3,0,
0,49465087,9,2,
0,49465121,4,0,
0,49465158,30,1,
0,49465169,453,66,4
0,49465196,23,4,
0,49465242,8,0,
0,49465290,5,0,
0,49465291,42,20,
0,49465381,111,78,
0,49465412,18,2,
0,49465427,6,1,
0,49465461,86,78,
